Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,82,82,3036,14.0,.585,.391,.100,2.7,7.0,4.9,14.4,1.2,1.3,9.7,19.6,3.7,2.0,5.7,.090,0.4,-0.9,-0.5,1.2,,bridgmi01
2,Josh Hart,29,NYK,SG,77,77,2897,16.5,.611,.327,.266,6.4,22.6,14.6,20.7,2.0,0.9,15.5,15.3,5.4,3.8,9.2,.153,1.1,1.8,2.8,3.6,,hartjo01
3,Anthony Edwards,23,MIN,SG,79,79,2871,20.1,.595,.503,.308,2.4,14.8,8.7,20.9,1.6,1.7,12.0,31.4,4.6,3.8,8.4,.140,4.4,0.0,4.3,4.6,,edwaran01
4,Devin Booker,28,PHO,SG,75,75,2795,19.3,.589,.388,.340,3.1,8.9,6.1,30.6,1.2,0.5,11.9,29.3,6.1,0.3,6.4,.111,2.8,-2.4,0.4,1.7,,bookede01
5,James Harden,35,LAC,PG,79,79,2789,20.0,.582,.516,.446,2.3,16.1,9.3,36.8,2.1,2.0,18.0,29.6,4.0,4.3,8.3,.143,3.5,0.8,4.3,4.4,,hardeja01
6,DeMar DeRozan,35,SAC,SF,77,77,2768,17.7,.569,.196,.337,2.0,10.1,6.0,18.7,1.1,1.1,6.5,25.0,5.7,1.4,7.1,.123,1.2,-1.2,-0.1,1.3,,derozde01
7,Trae Young,26,ATL,PG,76,76,2739,18.3,.567,.467,.408,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6,4.4,1.3,5.7,.100,3.3,-2.7,0.5,1.7,,youngtr01
8,Tyler Herro,25,MIA,SG,77,77,2725,19.7,.605,.486,.237,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28.0,4.7,2.7,7.4,.131,3.8,-0.7,3.1,3.5,,herroty01
9,OG Anunoby,27,NYK,PF,74,74,2706,15.4,.591,.448,.220,4.2,11.0,7.6,8.5,2.0,2.2,8.3,19.7,3.7,2.8,6.5,.116,0.7,0.1,0.7,1.9,,anunoog01
10,Jalen Green,22,HOU,SG,82,82,2697,15.1,.544,.460,.234,1.7,13.4,7.4,16.0,1.3,0.9,11.4,27.3,1.9,3.2,5.1,.092,1.1,-0.5,0.5,1.7,,greenja05
11,Christian Braun,23,DEN,SG,79,77,2675,16.0,.665,.273,.261,4.2,12.2,8.4,10.1,1.5,1.2,8.1,15.8,6.2,1.9,8.0,.144,0.8,-0.5,0.3,1.6,,braunch01
12,Bam Adebayo,27,MIA,C,78,78,2674,18.9,.561,.199,.295,7.7,23.1,15.5,20.0,1.8,1.9,11.4,23.5,3.5,4.0,7.5,.135,1.0,1.0,2.0,2.7,,adebaba01
13,Ivica Zubac,27,LAC,C,80,80,2624,22.3,.641,.000,.251,13.1,30.2,21.8,12.8,1.0,3.4,10.8,19.5,7.0,4.7,11.7,.215,2.3,0.8,3.1,3.4,,zubaciv01
14,Jayson Tatum,26,BOS,PF,72,72,2624,21.7,.582,.497,.300,2.0,23.7,12.9,27.0,1.5,1.3,11.2,31.2,5.3,4.2,9.5,.174,4.4,0.8,5.2,4.8,,tatumja01
15,Jaden McDaniels,24,MIN,PF,82,82,2614,13.3,.562,.363,.153,5.6,14.2,10.0,9.0,2.1,2.6,9.6,16.3,2.3,3.9,6.3,.115,-1.4,1.4,0.0,1.4,,mcdanja02
16,Keegan Murray,24,SAC,PF,76,76,2610,12.0,.553,.548,.088,6.3,15.5,10.9,5.6,1.1,2.6,6.6,15.0,2.4,2.1,4.4,.082,-0.8,-0.8,-1.6,0.2,,murrake02
17,Zach LaVine,29,2TM,SF,74,74,2602,17.3,.639,.438,.233,0.9,12.0,6.5,18.3,1.1,0.4,13.4,25.3,3.7,1.4,5.1,.094,2.3,-1.6,0.7,1.8,,lavinza01
17,Zach LaVine,29,CHI,SF,42,42,1432,18.4,.637,.430,.256,0.9,13.7,7.4,20.5,1.3,0.6,13.3,26.6,2.0,1.0,3.0,.101,2.7,-1.0,1.6,1.3,,lavinza01
17,Zach LaVine,29,SAC,SG,32,32,1170,15.9,.642,.450,.201,1.0,9.9,5.4,15.6,0.8,0.2,13.5,23.7,1.7,0.4,2.1,.086,1.8,-2.3,-0.4,0.5,,lavinza01
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,30.7,.637,.263,.404,2.8,12.6,7.8,31.3,2.4,3.0,8.6,34.8,11.9,4.8,16.7,.309,8.9,2.6,11.5,8.9,,gilgesh01
19,Michael Porter Jr.,26,DEN,SF,77,77,2593,16.2,.617,.467,.185,6.1,16.2,11.4,8.7,0.9,1.3,8.4,20.2,4.6,1.8,6.4,.118,1.6,-1.7,-0.1,1.2,,portemi01
20,Derrick White,30,BOS,SG,76,76,2574,16.6,.606,.721,.168,2.8,11.5,7.2,20.2,1.4,2.9,11.3,19.8,5.1,3.4,8.5,.158,2.7,0.8,3.5,3.6,,whitede01
21,Dyson Daniels,21,ATL,SG,76,76,2571,15.6,.545,.255,.152,5.1,14.2,9.6,17.9,4.2,2.0,13.6,18.2,1.3,3.7,5.0,.093,-1.1,2.6,1.5,2.3,,daniedy01
22,Nikola Jokić,29,DEN,C,70,70,2571,32.0,.663,.243,.331,9.0,28.2,19.1,44.1,2.4,1.6,12.8,29.5,12.7,3.8,16.4,.307,9.9,3.3,13.3,9.8,,jokicni01
23,Austin Reaves,26,LAL,SG,73,73,2550,18.1,.616,.512,.353,2.8,11.5,7.3,24.9,1.6,0.8,12.9,23.7,5.6,2.1,7.6,.144,2.4,-0.5,1.9,2.6,,reaveau01
24,Toumani Camara,24,POR,PF,78,78,2548,12.5,.572,.503,.176,7.2,12.1,9.6,9.6,2.2,1.8,12.4,14.4,2.5,2.6,5.2,.097,-0.9,0.8,-0.1,1.2,,camarto01
25,Pascal Siakam,30,IND,PF,78,78,2548,19.2,.599,.274,.261,5.9,17.6,11.8,15.7,1.3,1.5,7.6,24.2,5.0,2.5,7.5,.142,2.2,-0.5,1.7,2.4,,siakapa01
26,Brook Lopez,36,MIL,C,80,80,2546,14.8,.624,.482,.178,5.0,11.8,8.6,7.8,0.9,5.4,9.1,15.8,3.6,2.9,6.6,.124,0.4,0.4,0.8,1.8,,lopezbr01
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,23.4,.630,.278,.337,9.8,32.0,21.0,13.8,1.4,1.9,12.1,27.4,6.3,3.8,10.1,.193,3.5,0.1,3.6,3.5,,townska01
28,Bub Carrington,19,WAS,PG,82,57,2458,9.0,.514,.544,.114,1.4,13.1,7.2,21.2,1.0,0.8,15.2,15.8,-0.4,0.6,0.2,.005,-3.3,-1.3,-4.6,-1.6,,carrica01
29,Cade Cunningham,23,DET,PG,70,70,2452,20.6,.565,.287,.254,2.5,16.5,9.6,43.0,1.4,2.1,16.0,33.2,3.0,2.9,5.9,.115,3.8,0.1,3.9,3.7,,cunnica01
30,Tyrese Haliburton,24,IND,PG,73,73,2451,21.8,.616,.559,.221,1.9,9.7,5.9,38.9,2.1,1.8,9.8,21.6,8.1,2.3,10.4,.204,5.7,0.2,5.8,4.9,,halibty01
31,Coby White,24,CHI,SG,74,73,2450,15.5,.601,.521,.274,1.1,10.4,5.8,19.5,1.3,0.6,12.4,24.4,3.0,1.5,4.5,.088,0.5,-1.4,-0.9,0.7,,whiteco01
32,LeBron James,40,LAL,SF,70,70,2444,22.7,.604,.312,.261,3.4,21.2,12.6,40.3,1.4,1.5,15.5,30.1,4.9,2.8,7.7,.152,4.9,0.7,5.6,4.7,,jamesle01
33,Domantas Sabonis,28,SAC,C,70,70,2429,22.9,.655,.175,.324,12.3,32.6,22.4,26.0,1.0,1.0,16.5,21.6,7.4,2.7,10.1,.199,4.2,1.1,5.2,4.4,,sabondo01
34,Jamal Murray,27,DEN,PG,67,67,2418,17.8,.584,.354,.219,2.2,9.3,5.9,23.2,1.8,1.2,10.1,24.0,4.6,1.6,6.2,.123,1.8,-1.0,0.8,1.7,,murraja01
35,Alperen Şengün,22,HOU,C,76,76,2395,21.4,.545,.079,.374,11.4,23.8,17.5,24.1,1.7,2.3,12.7,26.2,4.1,4.2,8.3,.166,2.6,1.8,4.4,3.9,,sengual01
36,Dillon Brooks,29,HOU,SF,75,75,2388,11.0,.555,.524,.135,3.3,9.1,6.1,7.4,1.2,0.6,7.4,17.7,2.7,2.5,5.1,.103,-1.4,0.0,-1.4,0.4,,brookdi01
37,Rudy Gobert,32,MIN,C,72,72,2388,18.3,.687,.000,.535,12.5,23.8,18.2,7.5,1.2,4.1,12.4,13.0,6.1,4.0,10.1,.204,0.6,1.3,1.9,2.4,,goberru01
38,Tobias Harris,32,DET,PF,73,73,2305,13.9,.571,.328,.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,2.3,2.9,5.2,.108,-0.5,0.6,0.1,1.2,,harrito02
39,Darius Garland,25,CLE,PG,75,75,2301,19.9,.600,.451,.217,2.3,7.6,5.0,32.2,1.9,0.4,12.8,27.2,5.8,2.3,8.1,.169,3.9,-0.8,3.1,3.0,,garlada01
40,Jalen Brunson,28,NYK,PG,65,65,2301,21.6,.605,.331,.373,1.4,7.9,4.7,32.3,1.3,0.3,10.5,29.5,6.8,1.4,8.3,.172,4.7,-1.3,3.3,3.1,,brunsja01
41,Jarrett Allen,26,CLE,C,82,82,2296,22.1,.724,.008,.433,10.5,26.7,18.8,9.5,1.6,2.9,11.3,15.9,7.6,4.0,11.6,.243,3.0,1.2,4.2,3.6,,allenja01
42,Chris Paul,39,SAS,PG,82,82,2292,14.7,.580,.636,.158,1.5,12.3,6.9,34.8,2.2,0.9,17.1,14.0,4.2,1.6,5.7,.120,0.3,0.5,0.8,1.6,,paulch01
43,Anfernee Simons,25,POR,SG,70,70,2292,14.9,.557,.527,.172,1.2,8.0,4.5,23.3,1.3,0.2,10.6,24.6,2.9,1.2,4.2,.087,1.5,-1.5,-0.1,1.1,,simonan01
44,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,30.5,.625,.048,.536,7.3,29.7,19.0,36.0,1.2,3.2,11.2,35.2,7.8,3.7,11.5,.241,6.9,2.5,9.5,6.6,,antetgi01
45,Malik Beasley,28,DET,SG,82,18,2283,14.4,.590,.715,.131,2.3,8.0,5.2,8.9,1.5,0.2,6.8,22.5,2.9,1.8,4.7,.100,2.0,-1.2,0.8,1.6,,beaslma01
46,Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,9.9,.574,.607,.175,1.6,7.2,4.3,8.7,2.2,1.4,9.6,12.4,1.5,3.1,4.6,.096,-3.0,1.6,-1.4,0.3,,caldwke01
47,Nikola Vučević,34,CHI,C,73,72,2278,20.3,.611,.309,.144,8.3,25.2,16.9,17.1,1.2,2.0,9.7,22.4,4.7,2.6,7.3,.153,2.5,0.1,2.6,2.7,,vucevni01
48,Payton Pritchard,27,BOS,PG,80,3,2271,17.6,.633,.723,.097,4.9,9.8,7.3,18.1,1.5,0.6,8.4,19.0,6.1,2.5,8.6,.183,3.4,0.2,3.5,3.2,,pritcpa01
49,Kevin Durant,36,PHO,PF,62,62,2265,21.2,.642,.331,.321,1.2,16.9,9.2,19.6,1.1,3.2,12.9,28.7,4.0,1.2,5.2,.111,3.9,-0.7,3.2,3.0,,duranke01
50,Shaedon Sharpe,21,POR,SG,72,52,2252,14.5,.551,.428,.219,3.2,12.7,7.8,14.2,1.3,0.6,11.0,25.1,1.3,1.7,3.0,.064,0.0,-1.3,-1.3,0.4,,sharpsh01
51,Stephen Curry,36,GSW,PG,70,70,2252,21.5,.618,.623,.238,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,5.2,2.7,7.9,.168,6.4,0.0,6.3,4.8,,curryst01
52,De'Aaron Fox,27,2TM,PG,62,62,2241,18.3,.560,.328,.273,2.7,12.1,7.4,27.2,2.0,1.1,11.8,28.3,2.6,1.7,4.3,.093,1.3,-1.0,0.4,1.3,,foxde01
52,De'Aaron Fox,27,SAC,PG,45,45,1663,19.0,.567,.324,.279,3.0,12.2,7.6,26.0,1.9,1.2,11.8,29.1,2.2,1.3,3.5,.101,2.0,-0.8,1.2,1.3,,foxde01
52,De'Aaron Fox,27,SAS,PG,17,17,578,16.3,.537,.339,.257,1.7,11.9,6.8,30.8,2.1,0.8,11.6,26.0,0.5,0.4,0.9,.071,-0.6,-1.4,-2.0,0.0,,foxde01
53,Jalen Williams,23,OKC,SG,69,69,2237,20.3,.573,.291,.256,2.9,14.6,8.8,23.4,2.4,2.1,10.3,27.5,3.7,4.1,7.8,.168,2.7,1.4,4.0,3.4,,willija06
54,Donovan Mitchell,28,CLE,SG,71,71,2232,20.9,.575,.480,.274,2.8,12.5,7.8,23.9,2.0,0.7,9.2,30.9,4.8,2.8,7.6,.163,3.8,-0.2,3.7,3.2,,mitchdo01
55,Harrison Barnes,32,SAS,PF,82,82,2230,14.9,.656,.527,.291,4.7,10.3,7.4,8.6,0.8,0.6,6.1,15.7,5.0,0.5,5.6,.120,1.7,-1.7,0.0,1.2,,barneha02
56,Julius Randle,30,MIN,PF,69,69,2226,17.5,.593,.334,.357,7.3,16.8,12.1,22.5,1.0,0.7,15.3,25.0,3.6,2.6,6.2,.134,1.5,-0.2,1.3,1.8,,randlju01
57,Amen Thompson,22,HOU,SF,69,42,2225,18.7,.602,.131,.354,9.0,18.2,13.5,16.9,2.1,3.6,14.6,17.5,4.1,3.9,8.0,.172,1.4,2.6,4.1,3.4,,thompam01
58,Jaren Jackson Jr.,25,MEM,C,74,74,2207,19.6,.591,.321,.328,4.4,15.5,10.0,10.1,1.9,4.7,9.9,28.1,3.2,3.2,6.4,.139,1.6,0.8,2.3,2.4,,jacksja02
59,Desmond Bane,26,MEM,SG,69,68,2205,17.9,.600,.411,.194,3.0,16.9,10.0,23.6,1.7,1.2,13.3,23.3,4.0,2.6,6.5,.142,2.6,0.6,3.2,2.9,,banede01
60,Naz Reid,25,MIN,C,80,17,2200,15.8,.577,.501,.155,4.7,19.3,12.1,12.6,1.3,3.0,9.9,21.5,2.4,3.3,5.7,.125,0.8,0.8,1.6,2.0,,reidna01
61,Tyus Jones,28,PHO,PG,81,58,2174,14.5,.585,.587,.083,2.1,7.8,5.0,27.7,1.6,0.3,11.4,16.2,4.0,0.3,4.4,.096,1.4,-1.3,0.1,1.1,,jonesty01
62,Myles Turner,28,IND,C,72,72,2174,16.1,.612,.486,.293,4.7,19.4,12.1,7.1,1.2,6.0,11.8,20.7,1.8,2.9,4.7,.104,0.0,0.4,0.4,1.3,,turnemy01
63,Evan Mobley,23,CLE,PF,71,71,2167,22.3,.633,.254,.337,8.4,24.0,16.5,15.1,1.4,4.7,12.2,23.2,5.3,3.8,9.0,.200,3.1,1.5,4.6,3.6,,mobleev01
64,Taurean Prince,30,MIL,SF,80,73,2166,9.8,.613,.652,.093,1.8,12.2,7.2,9.4,1.7,0.6,13.3,12.5,1.3,2.2,3.5,.077,-2.0,0.3,-1.7,0.1,,princta02
65,Stephon Castle,20,SAS,PG,81,47,2162,13.7,.522,.337,.348,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26.0,0.1,1.0,1.1,.025,-1.5,-1.7,-3.2,-0.6,,castlst01
66,Deni Avdija,24,POR,SF,72,54,2161,17.7,.605,.405,.441,5.4,21.2,13.1,19.9,1.6,1.5,16.3,23.2,3.1,2.5,5.6,.124,1.5,0.6,2.1,2.2,,avdijde01
67,Jaylen Brown,28,BOS,SF,63,63,2158,17.8,.555,.320,.288,4.1,14.4,9.3,21.4,1.7,0.8,11.4,28.9,2.3,2.9,5.2,.115,0.4,-0.4,0.0,1.1,,brownja02
68,Tim Hardaway Jr.,32,DET,SG,77,77,2153,9.8,.567,.672,.213,0.9,8.4,4.7,7.6,0.8,0.3,6.1,15.5,2.1,1.4,3.5,.077,-1.1,-0.9,-2.1,0.0,,hardati02
69,Bennedict Mathurin,22,IND,SF,72,49,2149,13.6,.579,.338,.389,4.6,15.2,9.9,8.8,1.1,1.0,11.9,22.8,1.3,1.8,3.0,.068,-1.3,-1.5,-2.9,-0.5,,mathube01
70,Spencer Dinwiddie,31,DAL,PG,79,30,2136,13.0,.553,.478,.356,0.9,9.5,5.3,22.1,1.6,0.7,11.4,17.9,2.4,1.2,3.7,.082,-0.9,-0.7,-1.6,0.2,,dinwisp01
71,Scottie Barnes,23,TOR,PF,65,65,2134,17.8,.523,.263,.284,5.3,20.2,12.6,27.7,2.1,2.8,13.4,27.0,0.6,2.9,3.5,.078,1.5,0.9,2.4,2.3,,barnesc01
72,Max Christie,21,2TM,SG,78,36,2127,10.4,.570,.532,.258,2.0,11.2,6.7,9.2,1.5,1.3,11.8,15.2,1.1,1.6,2.7,.060,-2.1,-0.5,-2.5,-0.3,,chrisma02
72,Max Christie,21,LAL,SG,46,25,1154,10.6,.598,.566,.302,2.5,9.3,6.0,7.7,1.5,1.7,10.7,13.9,1.0,0.9,2.0,.081,-1.8,0.0,-1.8,0.0,,chrisma02
72,Max Christie,21,DAL,SG,32,11,973,10.2,.543,.500,.215,1.5,13.4,7.6,11.0,1.4,0.9,12.9,16.8,0.0,0.7,0.7,.035,-2.4,-1.0,-3.4,-0.3,,chrisma02
73,Josh Giddey,22,CHI,PG,70,69,2117,18.1,.570,.348,.281,6.4,21.4,14.0,32.9,1.9,1.8,18.4,21.7,2.8,2.5,5.3,.121,1.9,1.1,3.0,2.7,,giddejo01
74,Fred VanVleet,30,HOU,PG,60,60,2111,12.8,.515,.607,.181,1.6,9.7,5.6,21.2,2.2,1.1,9.6,17.7,2.4,2.8,5.2,.119,-0.4,1.3,0.9,1.5,,vanvlfr01
75,Keyonte George,21,UTA,PG,67,35,2109,12.9,.539,.552,.310,1.3,11.5,6.5,26.9,1.0,0.4,14.9,24.3,0.9,0.1,1.1,.024,-0.2,-2.5,-2.7,-0.3,,georgke01
76,Dennis Schröder,31,3TM,PG,75,49,2105,12.7,.531,.449,.261,1.4,9.2,5.2,28.7,1.5,0.6,13.3,21.6,1.5,1.7,3.2,.073,-1.3,-0.9,-2.2,-0.1,,schrode01
76,Dennis Schröder,31,BRK,PG,23,23,772,16.0,.588,.462,.249,0.6,9.9,5.0,33.4,1.7,0.5,14.1,23.8,1.1,0.5,1.6,.099,1.1,-1.1,0.0,0.4,,schrode01
76,Dennis Schröder,31,GSW,SG,24,18,628,8.4,.474,.458,.155,1.7,8.1,4.8,24.0,1.9,0.5,15.2,21.2,-0.5,0.7,0.2,.012,-4.6,-0.6,-5.2,-0.5,,schrode01
76,Dennis Schröder,31,DET,PG,28,8,705,12.9,.515,.422,.382,2.1,9.5,5.8,27.8,1.0,0.7,10.7,19.6,0.9,0.5,1.5,.100,-0.9,-1.2,-2.1,0.0,,schrode01
77,Damian Lillard,34,MIL,PG,58,58,2093,21.3,.621,.528,.396,1.6,12.1,7.1,29.7,1.6,0.4,12.2,27.8,5.6,2.0,7.6,.175,4.7,-0.6,4.0,3.2,,lillada01
78,Russell Westbrook,36,DEN,PG,75,36,2092,14.3,.532,.350,.280,5.6,13.4,9.7,28.8,2.4,1.6,20.6,23.8,-0.1,2.1,1.9,.045,-0.9,-0.2,-1.1,0.5,,westbru01
79,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,13.5,.551,.327,.250,5.1,15.4,10.0,7.9,2.2,1.4,8.9,18.9,1.2,1.4,2.6,.061,-1.7,-0.6,-2.3,-0.1,,oubreke01
80,Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,11.6,.579,.601,.192,2.9,11.1,7.1,15.0,1.2,1.5,12.9,16.0,2.0,2.3,4.3,.099,-0.8,0.4,-0.4,0.8,,alexani01
81,Luguentz Dort,25,OKC,SF,71,71,2073,11.3,.586,.696,.078,4.7,10.3,7.6,6.9,1.8,1.9,7.7,13.6,2.4,3.2,5.6,.129,-0.6,0.8,0.2,1.2,,dortlu01
82,Onyeka Okongwu,24,ATL,C,74,40,2064,19.0,.634,.216,.316,11.4,24.0,17.5,11.4,1.6,3.0,10.4,17.3,4.9,2.3,7.2,.168,1.2,0.2,1.3,1.7,,okongon01
83,Malik Monk,26,SAC,SG,65,45,2054,15.0,.549,.456,.190,1.6,11.7,6.7,25.7,1.5,1.8,13.5,24.6,1.3,1.4,2.8,.065,0.3,-1.1,-0.8,0.6,,monkma01
84,Jaylen Wells,21,MEM,SG,79,74,2043,10.5,.560,.580,.200,4.6,9.3,6.9,8.4,1.0,0.4,8.6,15.9,2.1,1.4,3.5,.083,-1.2,-1.0,-2.2,-0.1,,wellsja01
85,Jalen Duren,21,DET,C,78,78,2034,21.4,.703,.000,.443,15.2,28.7,22.0,14.7,1.3,4.2,17.2,16.4,5.9,3.4,9.2,.218,1.6,1.5,3.1,2.7,,durenja01
86,Jalen Wilson,24,BRK,PF,79,22,2031,9.5,.541,.584,.266,4.0,11.4,7.5,10.8,1.0,0.2,10.2,16.6,0.9,1.0,1.9,.046,-2.6,-1.3,-3.9,-1.0,,wilsoja03
87,Miles Bridges,26,CHO,PF,64,64,2029,17.7,.541,.413,.233,3.7,21.9,12.6,21.7,1.1,2.2,10.2,28.0,1.3,1.8,3.2,.075,2.3,-0.5,1.8,2.0,,bridgmi02
88,Davion Mitchell,26,2TM,PG,74,37,2027,10.2,.573,.443,.176,1.9,7.1,4.5,24.2,1.7,0.8,20.0,13.6,1.3,1.6,3.0,.070,-2.8,0.2,-2.6,-0.3,,mitchda01
88,Davion Mitchell,26,TOR,PG,44,22,1080,7.9,.536,.480,.152,1.6,7.0,4.2,24.6,1.4,0.7,23.1,13.1,0.0,0.7,0.7,.031,-4.0,-0.3,-4.3,-0.6,,mitchda01
88,Davion Mitchell,26,MIA,PG,30,15,947,12.9,.611,.405,.203,2.2,7.3,4.8,23.8,2.2,0.8,16.5,14.2,1.3,1.0,2.3,.114,-1.5,0.8,-0.6,0.3,,mitchda01
89,Franz Wagner,23,ORL,SF,60,60,2023,20.1,.558,.303,.268,3.0,17.1,9.7,26.6,1.9,1.0,9.6,31.0,2.6,3.1,5.6,.133,2.6,0.5,3.1,2.6,,wagnefr01
