Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
169,Sam Hauser,27,BOS,PF,71,19,1541,12.8,.632,.842,.023,3.1,12.7,7.9,5.8,1.3,0.8,4.6,14.3,2.6,1.8,4.4,.136,0.9,-0.1,0.8,1.1,,hausesa01
170,Ziaire Williams,23,BRK,SF,63,45,1541,11.9,.550,.581,.237,4.3,17.5,10.6,8.5,2.0,1.8,10.5,18.2,0.5,1.6,2.1,.065,-2.2,-0.1,-2.3,-0.1,,willizi02
171,Gabe Vincent,28,LAL,PG,72,11,1527,7.4,.536,.736,.050,1.5,5.2,3.4,8.7,1.6,0.8,8.7,13.5,0.3,1.0,1.3,.039,-3.8,-0.1,-4.0,-0.8,,vincega01
172,Victor Wembanyama,21,SAS,C,46,46,1527,24.2,.594,.470,.221,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4,1.0,2.8,3.8,.118,3.6,2.9,6.5,3.3,,wembavi01
173,Jerami Grant,30,POR,PF,47,47,1524,10.9,.523,.516,.289,1.8,10.0,5.8,9.5,1.3,2.7,9.1,19.4,0.6,1.2,1.8,.057,-1.4,-0.3,-1.6,0.1,,grantje01
174,Jonas Valančiūnas,32,2TM,C,81,21,1524,20.8,.602,.059,.263,13.3,30.7,22.0,17.6,1.2,2.8,14.6,22.8,2.6,1.7,4.3,.137,0.8,-0.1,0.6,1.0,,valanjo01
174,Jonas Valančiūnas,32,WAS,C,49,12,983,20.6,.602,.064,.251,12.6,30.2,21.4,18.8,1.1,2.6,15.8,23.8,1.3,1.0,2.3,.112,0.8,-0.5,0.4,0.6,,valanjo01
174,Jonas Valančiūnas,32,SAC,C,32,9,541,21.1,.604,.049,.288,14.5,31.7,23.1,15.3,1.4,3.3,12.2,20.9,1.3,0.7,2.1,.183,0.6,0.5,1.1,0.4,,valanjo01
175,Kyle Filipowski,21,UTA,C,72,27,1522,14.9,.594,.425,.276,8.0,23.1,15.6,13.9,1.5,1.4,14.9,18.7,1.5,1.0,2.5,.078,-0.6,-0.3,-1.0,0.4,,filipky01
176,Ja Morant,25,MEM,PG,50,50,1519,19.3,.563,.321,.359,2.4,11.8,7.1,36.0,1.9,0.7,15.2,32.2,2.0,1.5,3.5,.112,3.1,-0.7,2.4,1.7,,moranja01
177,Matas Buzelis,20,CHI,SF,80,31,1511,12.5,.571,.479,.195,3.9,15.2,9.6,7.2,0.9,4.3,10.9,18.7,0.5,1.4,1.9,.060,-2.0,-0.5,-2.5,-0.2,,buzelma01
178,LaMelo Ball,23,CHO,PG,47,47,1505,19.1,.536,.526,.228,3.3,13.4,8.2,43.8,1.8,0.8,13.1,35.9,0.9,1.1,2.0,.065,4.1,-0.9,3.2,2.0,,ballla01
179,Dalton Knecht,23,LAL,SF,78,16,1494,12.7,.594,.610,.151,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5,1.7,1.0,2.7,.086,-0.1,-1.7,-1.8,0.1,,knechda01
180,Kevin Porter Jr.,24,2TM,SG,75,4,1482,15.4,.531,.271,.259,3.2,17.3,10.4,25.9,2.7,0.9,15.8,25.4,-0.1,2.3,2.2,.072,-1.6,0.9,-0.6,0.5,,porteke02
180,Kevin Porter Jr.,24,LAC,SG,45,2,884,12.1,.476,.260,.187,3.8,16.5,10.3,24.5,2.4,1.2,16.0,25.9,-1.2,1.4,0.2,.011,-3.2,0.7,-2.5,-0.1,,porteke02
180,Kevin Porter Jr.,24,MIL,SG,30,2,598,20.2,.616,.290,.380,2.5,18.3,10.7,28.0,3.1,0.3,15.4,24.8,1.1,0.9,2.0,.163,0.9,1.2,2.1,0.6,,porteke02
181,D'Angelo Russell,28,2TM,PG,58,36,1480,14.0,.522,.564,.227,1.5,11.0,6.2,31.2,1.9,1.5,13.3,24.0,0.7,1.3,1.9,.063,0.0,-0.4,-0.4,0.6,,russeda01
181,D'Angelo Russell,28,LAL,PG,29,10,763,13.0,.537,.540,.170,1.2,10.3,5.9,26.2,1.5,0.5,13.0,22.1,0.4,0.6,1.0,.063,-0.7,-1.0,-1.7,0.1,,russeda01
181,D'Angelo Russell,28,BRK,PG,29,26,717,15.1,.508,.587,.281,1.8,11.6,6.5,36.6,2.3,2.6,13.6,25.9,0.2,0.7,0.9,.063,0.8,0.2,1.0,0.5,,russeda01
182,Lauri Markkanen,27,UTA,PF,47,47,1476,15.6,.571,.570,.264,5.3,14.9,10.1,7.5,1.1,1.1,7.8,24.0,1.8,0.3,2.2,.070,1.8,-2.1,-0.3,0.7,,markkla01
183,Luke Kennard,28,MEM,SG,65,11,1472,13.6,.631,.606,.132,2.7,10.4,6.6,18.5,1.6,0.3,13.6,14.5,2.6,1.3,3.9,.127,0.9,0.2,1.1,1.2,,kennalu01
184,Jamal Shead,22,TOR,PG,75,11,1467,9.9,.499,.442,.137,2.1,6.4,4.2,29.8,1.9,0.7,18.0,18.6,-0.2,1.1,0.8,.027,-3.2,-0.9,-4.1,-0.8,,sheadja01
185,Aaron Gordon,29,DEN,PF,51,42,1447,17.0,.650,.346,.360,6.4,12.1,9.4,15.0,0.8,0.9,11.3,19.0,3.6,0.7,4.3,.143,2.7,-1.5,1.2,1.2,,gordoaa01
186,Isaiah Stewart,23,DET,C,72,4,1434,14.6,.616,.168,.276,10.1,20.6,15.4,11.3,0.9,6.7,16.1,12.4,2.1,2.2,4.3,.144,-1.6,2.1,0.6,0.9,,stewais01
187,Brice Sensabaugh,21,UTA,SF,71,15,1432,13.4,.612,.621,.122,3.2,12.6,7.9,12.0,1.5,0.5,14.5,21.5,0.9,0.3,1.2,.042,0.4,-1.6,-1.2,0.3,,sensabr01
188,Goga Bitadze,25,ORL,C,70,42,1430,19.2,.631,.083,.392,12.7,25.0,18.6,14.8,1.7,6.6,15.3,14.3,2.8,3.0,5.8,.195,-0.3,2.8,2.5,1.6,,bitadgo01
189,Kel'el Ware,20,MIA,C,64,36,1422,17.4,.603,.239,.144,9.1,27.5,18.4,6.5,1.4,4.8,10.4,17.2,1.7,2.5,4.1,.140,-0.7,0.6,-0.1,0.7,,wareke01
190,Tari Eason,23,HOU,PF,57,16,1420,18.5,.567,.329,.186,9.4,17.9,13.6,8.5,3.3,3.2,9.7,19.4,2.1,2.9,5.0,.169,1.0,2.6,3.6,2.0,,easonta01
191,Zach Edey,22,MEM,C,66,55,1416,18.2,.624,.120,.293,17.5,23.4,20.5,6.1,1.2,5.5,15.3,16.4,2.7,2.2,4.9,.165,-0.2,0.1,-0.1,0.7,,edeyza01
192,T.J. McConnell,32,IND,PG,79,1,1415,18.4,.547,.079,.123,3.5,11.6,7.6,37.0,2.8,1.3,14.2,23.4,1.5,1.7,3.2,.109,0.6,0.6,1.2,1.2,,mccontj01
193,Terance Mann,28,2TM,SG,67,13,1414,12.0,.584,.395,.165,5.3,10.4,7.8,11.7,1.6,1.0,9.6,14.7,1.7,1.3,3.0,.101,-1.4,0.0,-1.3,0.2,,mannte01
193,Terance Mann,28,LAC,SG,37,12,732,10.5,.533,.385,.164,5.0,11.4,8.3,10.9,1.9,1.5,10.7,14.0,0.4,1.0,1.4,.093,-2.5,1.2,-1.3,0.1,,mannte01
193,Terance Mann,28,ATL,SG,30,1,682,13.7,.629,.404,.165,5.6,9.2,7.4,12.5,1.3,0.5,8.6,15.4,1.3,0.3,1.6,.111,-0.1,-1.2,-1.3,0.1,,mannte01
194,Ryan Dunn,22,PHO,SF,74,44,1410,10.7,.517,.553,.082,7.5,13.5,10.6,5.7,1.5,2.7,7.5,16.7,0.2,0.7,1.0,.034,-2.9,-1.2,-4.1,-0.7,,dunnry01
195,Sam Merrill,28,CLE,SG,71,4,1401,11.1,.583,.868,.068,3.0,8.9,6.1,9.6,1.8,0.9,7.4,14.3,1.8,1.5,3.3,.113,-0.4,0.7,0.3,0.8,,merrisa01
196,Ayo Dosunmu,25,CHI,SG,46,26,1394,12.8,.585,.421,.176,2.0,10.0,6.1,20.2,1.4,1.1,12.5,16.6,1.6,1.0,2.5,.087,-1.4,-0.2,-1.6,0.1,,dosunay01
197,Ty Jerome,27,CLE,SG,70,3,1392,21.0,.643,.409,.239,4.0,9.3,6.7,24.5,2.7,0.2,11.9,23.6,4.2,1.8,5.9,.204,3.5,0.8,4.3,2.2,,jeromty01
198,Julian Strawther,22,DEN,SG,65,4,1384,9.5,.559,.553,.185,1.4,9.5,5.6,7.6,1.4,1.0,9.8,17.8,0.5,0.8,1.3,.043,-3.1,-1.4,-4.5,-0.9,,strawju01
199,Nick Smith Jr.,20,CHO,SG,60,27,1369,8.3,.502,.539,.081,1.0,9.1,5.0,16.7,0.6,0.4,12.2,20.8,-0.9,0.3,-0.5,-0.019,-3.2,-2.6,-5.7,-1.3,,smithni01
200,Jaime Jaquez Jr.,23,MIA,SF,66,17,1368,14.3,.543,.258,.307,6.8,16.5,11.7,17.9,2.2,1.0,15.7,20.2,0.5,1.8,2.3,.081,-1.4,0.5,-0.9,0.4,,jaqueja01
201,Nicolas Batum,36,LAC,PF,78,8,1367,10.3,.633,.853,.088,4.0,14.0,9.0,7.8,1.9,2.6,12.1,9.0,1.5,2.0,3.5,.124,-1.2,2.0,0.8,1.0,,batumni01
202,Jose Alvarado,26,NOP,PG,56,23,1366,13.4,.523,.593,.142,2.1,8.9,5.4,27.3,2.6,1.0,13.4,19.8,0.7,0.5,1.2,.043,-0.6,-0.8,-1.4,0.2,,alvarjo01
203,Jeremy Sochan,21,SAS,PF,54,23,1364,15.9,.589,.194,.267,10.0,17.7,13.8,13.7,1.6,1.8,13.8,19.0,1.7,1.1,2.7,.096,-0.8,-0.4,-1.2,0.3,,sochaje01
204,Luke Kornet,29,BOS,C,73,16,1361,19.6,.683,.011,.346,15.2,15.8,15.5,11.9,1.3,4.8,8.8,11.4,4.8,2.2,7.0,.246,1.6,1.7,3.3,1.8,,kornelu01
205,Trey Lyles,29,SAC,PF,69,5,1349,12.3,.551,.636,.214,6.6,19.6,13.1,7.9,1.5,1.7,8.7,14.3,1.3,1.2,2.6,.091,-0.4,-0.3,-0.7,0.4,,lylestr01
206,Jake LaRavia,23,2TM,PF,66,0,1349,12.6,.591,.421,.341,7.2,13.3,10.3,14.6,2.2,1.6,18.2,14.4,1.4,1.5,2.9,.104,-0.8,1.1,0.2,0.8,,laravja01
206,Jake LaRavia,23,MEM,PF,47,0,982,13.5,.605,.373,.398,7.3,14.7,11.1,16.7,2.1,1.9,19.6,14.5,1.2,1.2,2.4,.119,-0.2,1.5,1.3,0.8,,laravja01
206,Jake LaRavia,23,SAC,PF,19,0,367,10.2,.551,.542,.198,7.0,9.5,8.2,8.8,2.4,0.8,14.0,14.2,0.2,0.3,0.5,.063,-2.5,-0.2,-2.7,-0.1,,laravja01
207,Bogdan Bogdanović,32,2TM,SG,54,4,1348,11.1,.559,.587,.134,2.0,11.2,6.6,15.2,1.5,0.8,12.4,18.7,0.7,1.2,1.9,.069,-1.8,-0.2,-2.0,0.0,,bogdabo01
207,Bogdan Bogdanović,32,ATL,SG,24,0,598,7.6,.502,.652,.152,2.1,10.1,6.0,10.8,1.6,0.9,13.4,18.9,-0.4,0.4,-0.1,-0.006,-4.1,-0.6,-4.7,-0.4,,bogdabo01
207,Bogdan Bogdanović,32,LAC,SG,30,4,750,14.0,.608,.534,.119,1.8,12.1,7.0,18.7,1.4,0.7,11.6,18.6,1.1,0.9,2.0,.128,0.1,0.1,0.2,0.4,,bogdabo01
208,Justin Champagnie,23,WAS,SF,62,31,1340,15.7,.614,.470,.178,8.6,18.6,13.6,6.8,2.3,2.6,10.9,15.6,1.6,1.2,2.8,.100,-0.3,-0.2,-0.5,0.5,,champju01
209,Paul George,34,PHI,PF,41,41,1334,14.5,.543,.470,.170,2.0,17.2,9.3,20.9,2.8,1.5,14.7,23.5,-0.2,1.2,1.0,.036,-0.5,0.1,-0.4,0.5,,georgpa01
210,Ausar Thompson,22,DET,SF,59,48,1328,17.2,.568,.107,.309,9.3,15.9,12.6,14.4,3.5,2.9,13.3,19.1,1.5,2.4,3.8,.138,-0.8,2.5,1.7,1.2,,thompau01
211,Donovan Clingan,20,POR,C,67,37,1324,17.4,.574,.147,.311,17.3,26.1,21.6,8.3,1.2,7.5,15.9,14.2,1.8,2.2,4.0,.144,-1.7,1.4,-0.3,0.6,,clingdo01
212,Jordan Hawkins,22,NOP,SG,56,9,1321,9.6,.504,.597,.176,2.0,11.2,6.5,7.3,1.1,1.7,8.8,21.0,-0.7,0.1,-0.5,-0.020,-2.4,-3.0,-5.4,-1.2,,hawkijo01
213,Tyrese Martin,25,BRK,SG,60,11,1315,10.9,.533,.606,.125,4.8,14.6,9.5,14.6,1.3,0.7,13.1,18.8,0.0,0.9,0.9,.033,-1.4,-1.2,-2.6,-0.2,,martity01
214,Mason Plumlee,34,PHO,C,74,21,1300,14.8,.645,.020,.634,10.2,28.4,19.5,13.6,1.3,3.4,18.6,10.8,2.4,1.3,3.7,.136,-1.5,1.0,-0.6,0.5,,plumlma01
215,Jonathan Mogbo,23,TOR,PF,63,18,1286,11.9,.496,.197,.230,8.9,17.3,13.0,15.3,2.1,2.5,15.1,15.0,0.3,1.6,1.9,.071,-2.9,1.0,-1.9,0.0,,mogbojo01
216,Jalen Johnson,23,ATL,SF,36,36,1284,17.3,.569,.260,.232,5.2,26.0,15.3,20.5,2.0,2.6,15.1,22.5,0.8,1.6,2.4,.089,0.5,1.4,1.8,1.2,,johnsja05
217,Max Strus,28,CLE,SF,50,37,1273,12.6,.607,.786,.091,4.6,13.6,9.2,15.6,1.0,0.9,12.2,14.7,2.2,1.3,3.4,.130,1.1,0.2,1.3,1.1,,strusma01
218,Johnny Juzang,23,UTA,SG,64,18,1270,11.8,.573,.661,.112,3.6,12.0,7.8,7.9,1.5,0.6,6.7,17.6,1.3,0.3,1.6,.060,-0.9,-1.4,-2.3,-0.1,,juzanjo01
219,Ron Holland,19,DET,SF,81,2,1266,11.1,.556,.363,.293,3.5,15.5,9.5,8.9,1.9,1.3,13.3,18.1,0.2,1.5,1.8,.067,-3.3,0.3,-3.0,-0.3,,hollaro01
220,Javonte Green,31,2TM,SG,68,19,1258,10.7,.541,.491,.265,5.0,13.9,9.4,5.9,2.5,2.4,9.1,11.8,0.7,0.9,1.6,.063,-2.8,0.5,-2.3,-0.1,,greenja02
220,Javonte Green,31,NOP,SG,50,18,1092,10.8,.569,.482,.295,4.7,13.1,8.8,5.5,2.4,2.6,10.0,10.9,0.8,0.6,1.4,.063,-2.5,0.3,-2.2,0.0,,greenja02
220,Javonte Green,31,CLE,SG,18,1,166,10.2,.438,.524,.159,6.7,19.0,13.1,8.4,2.9,0.5,5.6,18.2,-0.1,0.3,0.2,.063,-4.4,1.3,-3.1,0.0,,greenja02
221,Nick Richards,27,2TM,C,57,43,1256,16.6,.634,.006,.461,13.1,27.5,20.4,5.9,0.5,4.2,16.3,17.3,1.8,1.2,3.0,.114,-2.0,-1.3,-3.3,-0.4,,richani01
221,Nick Richards,27,CHO,C,21,9,440,17.2,.614,.009,.763,12.1,26.5,19.1,9.8,0.8,5.8,17.8,17.9,0.5,0.5,1.1,.117,-2.3,0.2,-2.0,0.0,,richani01
221,Nick Richards,27,PHO,C,36,34,816,16.3,.645,.004,.313,13.6,28.1,21.1,3.8,0.4,3.3,15.3,17.0,1.3,0.6,1.9,.112,-1.9,-2.1,-3.9,-0.4,,richani01
222,Dean Wade,28,CLE,PF,59,30,1252,10.1,.563,.819,.111,4.5,16.6,10.8,7.3,1.6,1.4,7.2,10.4,1.3,1.7,3.0,.113,-1.0,1.2,0.3,0.7,,wadede01
223,Ricky Council IV,23,PHI,SF,73,12,1250,11.6,.502,.460,.330,4.4,15.4,9.7,11.4,1.3,1.0,8.9,20.3,0.1,0.5,0.6,.023,-2.0,-2.3,-4.3,-0.7,,councri01
224,Tidjane Salaün,19,CHO,PF,60,10,1244,7.7,.457,.594,.272,5.9,18.4,12.0,8.5,1.1,1.1,13.1,15.2,-0.9,0.9,0.0,.002,-4.3,-0.8,-5.2,-1.0,,salauti01
225,Bobby Portis,29,MIL,PF,49,7,1244,17.7,.542,.299,.123,8.2,27.0,18.0,12.9,1.4,1.9,8.3,24.1,0.9,1.9,2.7,.106,0.6,-0.4,0.2,0.7,,portibo01
226,Moussa Diabaté,23,CHO,C,71,8,1241,16.5,.609,.021,.414,15.7,22.0,18.8,6.8,1.8,3.2,15.6,13.4,1.8,1.5,3.2,.125,-1.4,-0.4,-1.9,0.0,,diabamo01
227,Jeremiah Robinson-Earl,24,NOP,PF,66,9,1239,12.9,.563,.473,.159,9.3,18.4,13.7,9.9,1.5,0.5,12.1,14.4,1.3,0.5,1.7,.067,-0.9,-1.6,-2.5,-0.2,,robinje02
228,Simone Fontecchio,29,DET,SF,75,0,1237,9.7,.544,.609,.225,4.7,14.5,9.6,6.9,1.2,0.9,11.6,15.8,0.4,1.2,1.6,.063,-2.2,-0.7,-2.9,-0.3,,fontesi01
229,Cole Anthony,24,ORL,PG,67,22,1234,14.2,.531,.401,.208,4.1,15.5,9.5,25.5,1.8,2.5,14.8,24.6,0.0,2.0,2.0,.078,-0.8,0.9,0.1,0.7,,anthoco01
230,Ben Sheppard,23,IND,SG,63,9,1228,9.2,.555,.693,.094,4.0,12.0,8.0,8.6,1.5,1.0,6.9,11.3,1.0,1.0,2.1,.081,-2.2,0.2,-2.0,0.0,,sheppbe01
231,Daniel Gafford,26,DAL,C,57,31,1226,24.7,.716,.000,.486,14.1,20.3,17.2,10.2,0.9,7.1,11.9,19.5,4.4,1.5,5.9,.232,2.7,1.1,3.8,1.8,,gaffoda01
232,John Collins,27,UTA,PF,40,31,1220,19.0,.628,.279,.309,7.9,20.9,14.4,10.8,1.5,3.1,14.6,24.2,1.7,0.8,2.5,.098,1.4,-0.4,1.0,0.9,,collijo01
233,Caleb Martin,29,2TM,SF,45,24,1218,9.6,.513,.339,.322,4.8,11.7,8.2,10.7,1.9,1.8,13.9,14.4,0.0,0.7,0.6,.025,-2.9,-0.2,-3.2,-0.4,,martica02
233,Caleb Martin,29,PHI,SF,31,24,943,10.1,.531,.375,.319,5.0,11.6,8.2,10.2,1.8,2.1,14.0,14.2,0.1,0.5,0.6,.030,-2.3,-0.2,-2.5,-0.1,,martica02
233,Caleb Martin,29,DAL,SF,14,0,275,8.0,.454,.222,.333,4.0,12.0,8.1,12.3,2.1,0.9,13.6,14.9,-0.2,0.2,0.0,.008,-5.0,-0.3,-5.3,-0.2,,martica02
234,Kristaps Porziņģis,29,BOS,C,42,42,1210,22.3,.618,.436,.347,6.1,19.3,12.8,11.4,1.3,4.8,7.4,25.9,3.3,2.0,5.3,.212,3.5,1.2,4.7,2.1,,porzikr01
235,Brandon Clarke,28,MEM,PF,64,18,1207,17.6,.638,.045,.229,11.3,17.3,14.3,7.4,2.0,2.7,8.9,15.3,2.7,1.7,4.4,.174,0.0,0.8,0.8,0.9,,clarkbr01
236,Deandre Ayton,26,POR,C,40,40,1206,17.7,.583,.068,.128,10.9,26.0,18.2,8.5,1.2,2.9,12.2,19.4,1.2,1.6,2.8,.113,-0.3,-0.4,-0.7,0.4,,aytonde01
237,Jarace Walker,21,IND,PF,75,5,1187,11.9,.590,.514,.192,2.4,19.0,10.8,12.2,2.2,1.9,16.7,17.1,0.1,1.5,1.6,.065,-1.8,0.8,-0.9,0.3,,walkeja02
238,Kawhi Leonard,33,LAC,SF,37,37,1180,20.5,.589,.305,.194,3.4,17.4,10.5,16.4,2.5,1.4,9.6,27.7,1.5,1.9,3.5,.141,2.5,0.6,3.1,1.5,,leonaka01
239,Clint Capela,30,ATL,C,55,41,1176,17.7,.564,.003,.249,15.8,28.2,21.8,7.4,1.4,4.1,9.8,16.7,1.7,1.5,3.2,.131,-0.6,-0.4,-1.0,0.3,,capelca01
240,Cody Martin,29,2TM,SF,53,8,1173,11.3,.509,.465,.188,4.8,15.9,10.3,13.0,2.4,2.7,12.7,14.7,0.1,1.2,1.3,.054,-2.8,1.1,-1.7,0.1,,martico01
240,Cody Martin,29,CHO,SF,39,8,967,11.7,.528,.463,.183,4.3,15.3,9.7,13.6,2.2,2.6,12.7,14.6,0.3,1.0,1.3,.063,-2.3,1.1,-1.2,0.2,,martico01
240,Cody Martin,29,PHO,SF,14,0,206,9.5,.417,.474,.211,7.2,18.5,13.0,10.3,3.1,2.7,12.6,15.3,-0.2,0.2,0.0,.010,-4.9,0.9,-4.0,-0.1,,martico01
241,Mark Williams,23,CHO,C,44,41,1171,23.9,.647,.009,.365,11.8,29.3,20.3,16.5,1.3,4.5,12.0,21.4,3.1,1.6,4.7,.195,2.5,0.9,3.5,1.6,,willima07
242,Precious Achiuwa,25,NYK,C,57,10,1170,13.6,.530,.110,.211,10.0,21.0,15.5,6.2,2.0,3.3,11.2,14.9,0.7,1.7,2.3,.095,-2.1,0.2,-1.9,0.0,,achiupr01
243,Nikola Jović,21,MIA,PF,46,10,1156,13.8,.595,.557,.231,2.5,14.6,8.6,16.6,1.6,1.1,12.6,18.3,1.2,1.3,2.5,.104,-0.3,0.6,0.3,0.7,,jovicni01
244,Justin Edwards,21,PHI,SF,44,26,1155,11.3,.559,.503,.122,4.3,10.4,7.3,8.9,1.9,1.4,11.0,16.9,0.4,0.5,0.9,.039,-2.1,-1.6,-3.7,-0.5,,edwarju01
245,Vit Krejci,24,ATL,PG,57,16,1153,12.7,.661,.705,.154,2.0,13.1,7.4,16.5,1.5,2.1,13.8,12.9,1.8,0.8,2.6,.110,0.0,0.7,0.7,0.8,,krejcvi01
246,Jonathan Kuminga,22,GSW,PF,47,10,1144,15.7,.535,.266,.414,5.1,15.6,10.2,14.6,1.6,1.7,9.6,27.4,0.5,1.5,1.9,.080,-0.5,-0.1,-0.6,0.4,,kuminjo01
247,Kevon Looney,28,GSW,C,76,6,1142,17.0,.535,.018,.356,16.9,26.9,21.8,14.3,2.0,3.1,10.8,13.3,2.2,2.1,4.3,.182,-1.0,1.3,0.3,0.7,,looneke01
248,Kenrich Williams,30,OKC,PF,69,7,1132,13.7,.587,.483,.110,6.3,16.3,11.4,11.0,1.8,0.9,9.5,15.4,1.6,1.9,3.6,.151,-0.4,0.9,0.6,0.7,,willike04
249,Julian Phillips,21,CHI,SF,79,5,1123,10.2,.571,.533,.265,6.4,9.4,7.9,4.4,1.6,1.5,7.8,12.9,1.0,0.8,1.9,.080,-2.6,-0.4,-3.0,-0.3,,phillju01
250,Aaron Nesmith,25,IND,SF,45,37,1123,14.6,.653,.515,.211,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4,1.9,1.0,2.9,.126,0.0,-0.5,-0.5,0.4,,nesmiaa01